                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0846,                 2.2699,                 1.9561,                0.10749,                0.09009,                0.04799,                0.01211,                 2.9654,                 6.4408,                 3.0967,               0.001967,               0.001967,               0.001967
                     36,                  2.191,                 2.2478,                 1.9183,                0.18263,                0.03604,                0.10282,                0.05388,                 3.0943,                  3.945,                 2.9327,               0.001966,               0.001966,               0.001966
                     37,                 2.0306,                 2.1807,                 1.8515,                0.29533,                0.02703,                0.04658,                 0.0276,                 3.0118,                 3.7786,                 2.8729,               0.001965,               0.001965,               0.001965
                     38,                 2.0109,                 2.0319,                 1.8068,                0.29533,                0.02703,                0.04658,                 0.0276,                 3.0118,                 3.7786,                 2.8729,               0.001964,               0.001964,               0.001964
                     39,                 1.9785,                 2.0253,                 1.7927,                 0.2957,                0.07207,                0.14261,                0.05278,                 2.9053,                 4.0089,                 2.7247,               0.001963,               0.001963,               0.001963
                     40,                  2.047,                  2.087,                 1.8621,                0.22368,                0.15315,                0.15089,                0.03301,                 2.9228,                 5.6726,                 2.8316,               0.001962,               0.001962,               0.001962
                     41,                 2.0113,                 1.9827,                 1.8833,                0.10959,                0.14414,                0.08706,                0.02434,                 2.8704,                 7.4772,                 2.8442,               0.001961,               0.001961,               0.001961
                     42,                 2.0674,                 1.8698,                 1.7935,                0.10959,                0.14414,                0.08706,                0.02434,                 2.8704,                 7.4772,                 2.8442,                0.00196,                0.00196,                0.00196
                     43,                 1.9715,                 1.8773,                 1.7852,                0.10615,                0.06306,                0.04029,                0.01721,                 2.9173,                 9.2578,                 2.9566,               0.001959,               0.001959,               0.001959
                     44,                  2.011,                 1.8641,                 1.7773,                0.09677,                0.08108,                0.05524,                 0.0243,                 2.9088,                 7.5087,                 2.9063,               0.001958,               0.001958,               0.001958
                     45,                 2.0248,                 1.9223,                  1.847,                0.13793,                0.10811,                0.08579,                0.02686,                 2.9674,                 6.6536,                 2.9874,               0.001957,               0.001957,               0.001957
                     46,                 1.9936,                 1.7745,                 1.7794,                0.13793,                0.10811,                0.08579,                0.02686,                 2.9674,                 6.6536,                 2.9874,               0.001956,               0.001956,               0.001956
                     47,                 2.0701,                 1.9508,                 1.8995,                0.15444,                0.12613,                0.10246,                0.03975,                 3.0777,                 4.8236,                 3.0256,               0.001955,               0.001955,               0.001955
                     48,                 1.9821,                 1.7856,                 1.8515,                0.28571,                0.09009,                0.16905,                0.04518,                 3.1861,                 3.7942,                 3.1098,               0.001954,               0.001954,               0.001954
                     49,                 1.9647,                 1.8882,                 1.8209,                0.47059,                0.07207,                0.27588,                0.06209,                 3.1277,                 3.6395,                 3.0093,               0.001953,               0.001953,               0.001953
                     50,                 1.9821,                 1.9495,                 1.7847,                0.47059,                0.07207,                0.27588,                0.06209,                 3.1277,                 3.6395,                 3.0093,               0.001952,               0.001952,               0.001952
                     51,                  1.934,                 1.9559,                 1.8095,                0.36842,                0.06306,                0.21666,                0.07741,                 3.2284,                  3.901,                 3.2872,               0.001951,               0.001951,               0.001951
                     52,                 1.8786,                 1.8699,                 1.7144,                0.28571,                0.09009,                0.17229,                0.05879,                 3.2732,                 3.5724,                 3.3241,                0.00195,                0.00195,                0.00195
                     53,                 1.9422,                 1.7966,                 1.7588,                0.19295,                0.06306,                0.10942,                 0.0344,                 3.2305,                 4.0748,                 3.3046,               0.001949,               0.001949,               0.001949
                     54,                  2.079,                 1.9269,                 1.8971,                0.19295,                0.06306,                0.10942,                 0.0344,                 3.2305,                 4.0748,                 3.3046,               0.001948,               0.001948,               0.001948
                     55,                 2.0417,                 1.8599,                  1.843,                0.20093,                0.09009,                 0.0971,                0.02799,                 3.1913,                 5.4251,                 3.2696,               0.001947,               0.001947,               0.001947
                     56,                 2.1088,                 2.0191,                 1.9661,                0.30727,                0.09009,                0.15594,                0.03888,                 3.1209,                 4.7525,                 3.0989,               0.001946,               0.001946,               0.001946
